CustomerKey,Segment,Region,SignupDate
CUS00001,Small Business,North,2023-01-08
CUS00002,Consumer,South,2023-06-28
CUS00003,Corporate,East,2024-12-27
CUS00004,Consumer,East,2021-06-20
CUS00005,Consumer,North,2022-10-19
CUS00006,Small Business,Central,2021-05-14
CUS00007,Consumer,South,2025-08-20
CUS00008,Consumer,South,2021-12-05
CUS00009,Consumer,North,2025-02-05
CUS00010,Small Business,Central,2021-12-15
CUS00011,Consumer,South,2022-08-15
CUS00012,Consumer,Central,2024-01-16
CUS00013,Small Business,East,2025-02-26
CUS00014,Corporate,Central,2021-11-21
CUS00015,Consumer,North,2022-01-24
CUS00016,Consumer,North,2025-05-29
CUS00017,Consumer,Central,2022-08-11
CUS00018,Consumer,Central,2022-01-18
CUS00019,Consumer,East,2024-09-18
CUS00020,Consumer,North,2021-06-16
CUS00021,Consumer,Central,2025-05-02
CUS00022,Consumer,South,2025-05-18
CUS00023,Consumer,Central,2025-04-13
CUS00024,Consumer,Central,2022-06-23
CUS00025,Consumer,Central,2021-07-28
CUS00026,Small Business,West,2023-02-16
CUS00027,Consumer,West,2022-09-03
CUS00028,Small Business,East,2025-10-17
CUS00029,Consumer,North,2024-02-27
CUS00030,Consumer,South,2025-09-20
CUS00031,Corporate,West,2024-10-02
CUS00032,Consumer,Central,2024-07-28
CUS00033,Consumer,East,2021-07-24
CUS00034,Consumer,West,2021-05-06
CUS00035,Consumer,North,2021-03-26
CUS00036,Corporate,East,2023-12-19
CUS00037,Consumer,East,2022-01-04
CUS00038,Corporate,Central,2025-12-11
CUS00039,Consumer,South,2021-08-31
CUS00040,Consumer,South,2025-09-25
CUS00041,Consumer,South,2024-05-03
CUS00042,Consumer,North,2021-07-13
CUS00043,Consumer,East,2021-04-17
CUS00044,Consumer,West,2022-12-24
CUS00045,Corporate,Central,2022-09-11
CUS00046,Consumer,Central,2022-07-30
CUS00047,Corporate,North,2023-08-23
CUS00048,Small Business,South,2021-08-25
CUS00049,Consumer,South,2021-08-25
CUS00050,Small Business,South,2024-06-22
CUS00051,Consumer,Central,2025-12-13
CUS00052,Consumer,North,2022-05-15
CUS00053,Small Business,North,2025-08-28
CUS00054,Small Business,Central,2022-09-22
CUS00055,Consumer,Central,2022-09-05
CUS00056,Consumer,South,2021-06-14
CUS00057,Consumer,South,2023-02-12
CUS00058,Small Business,East,2023-06-28
CUS00059,Consumer,East,2024-04-26
CUS00060,Consumer,Central,2021-10-16
CUS00061,Consumer,East,2021-12-11
CUS00062,Consumer,North,2023-02-28
CUS00063,Consumer,East,2021-05-08
CUS00064,Small Business,East,2021-09-19
CUS00065,Consumer,East,2024-02-23
CUS00066,Consumer,East,2025-10-07
CUS00067,Consumer,Central,2023-11-12
CUS00068,Small Business,Central,2021-09-22
CUS00069,Small Business,South,2025-12-14
CUS00070,Consumer,South,2023-08-11
CUS00071,Consumer,West,2024-08-01
CUS00072,Consumer,East,2021-12-26
CUS00073,Consumer,East,2023-11-22
CUS00074,Small Business,North,2021-05-20
CUS00075,Consumer,South,2024-02-16
CUS00076,Consumer,West,2022-01-05
CUS00077,Corporate,Central,2025-07-18
CUS00078,Consumer,West,2021-04-10
CUS00079,Consumer,South,2024-04-06
CUS00080,Consumer,North,2021-09-12
CUS00081,Consumer,North,2024-06-07
CUS00082,Consumer,South,2023-06-20
CUS00083,Consumer,East,2025-11-01
CUS00084,Consumer,Central,2024-04-04
CUS00085,Consumer,Central,2022-11-10
CUS00086,Consumer,North,2021-06-09
CUS00087,Consumer,West,2023-12-24
CUS00088,Consumer,South,2023-03-16
CUS00089,Consumer,North,2021-04-06
CUS00090,Consumer,East,2023-11-27
CUS00091,Small Business,North,2022-01-19
CUS00092,Small Business,South,2022-03-04
CUS00093,Consumer,East,2021-01-17
CUS00094,Consumer,South,2022-11-11
CUS00095,Consumer,East,2022-02-03
CUS00096,Consumer,East,2021-05-12
CUS00097,Consumer,West,2023-03-04
CUS00098,Consumer,North,2022-02-06
CUS00099,Consumer,North,2021-09-02
CUS00100,Consumer,East,2023-05-02
CUS00101,Consumer,South,2021-04-26
CUS00102,Consumer,West,2025-12-13
CUS00103,Small Business,North,2023-05-10
CUS00104,Consumer,East,2025-12-24
CUS00105,Corporate,Central,2025-05-28
CUS00106,Consumer,North,2025-11-23
CUS00107,Small Business,South,2023-09-18
CUS00108,Small Business,Central,2023-02-12
CUS00109,Corporate,East,2024-08-06
CUS00110,Small Business,North,2021-05-28
CUS00111,Small Business,South,2025-03-14
CUS00112,Consumer,West,2022-08-14
CUS00113,Small Business,Central,2021-01-14
CUS00114,Consumer,South,2022-03-10
CUS00115,Consumer,East,2022-03-19
CUS00116,Consumer,West,2021-01-26
CUS00117,Small Business,North,2024-05-05
CUS00118,Consumer,South,2021-06-23
CUS00119,Consumer,West,2025-03-26
CUS00120,Consumer,North,2023-04-08
CUS00121,Consumer,West,2024-08-03
CUS00122,Consumer,East,2022-09-12
CUS00123,Consumer,Central,2021-08-29
CUS00124,Consumer,North,2021-11-26
CUS00125,Consumer,Central,2024-03-24
CUS00126,Consumer,South,2024-07-30
CUS00127,Consumer,North,2022-05-04
CUS00128,Consumer,West,2022-10-14
CUS00129,Consumer,East,2025-09-21
CUS00130,Consumer,Central,2025-04-04
CUS00131,Consumer,North,2023-01-24
CUS00132,Corporate,North,2022-03-16
CUS00133,Small Business,East,2022-07-04
CUS00134,Consumer,Central,2023-09-10
