OrderKey,DateKey,ProductKey,StoreKey,CustomerKey,Quantity,UnitPrice,DiscountPercent,UnitCost,OrderChannel
1,2023-01-01,PRD003,STR11,CUS00012,1,10911.78,0.0,7072.94,In-Store
2,2023-01-01,PRD049,STR12,CUS02001,2,824.82,0.0,573.15,In-Store
3,2023-01-01,PRD017,STR02,CUS01013,2,2842.6,0.0,2119.97,In-Store
4,2023-01-01,PRD037,STR12,CUS00461,1,1804.66,0.0,1370.06,In-Store
5,2023-01-01,PRD032,STR16,CUS01413,1,5225.34,0.0,3782.27,Online
6,2023-01-01,PRD006,STR18,CUS00765,1,50500.57,0.0,28977.4,Online
7,2023-01-01,PRD044,STR08,CUS01633,1,177.02,0.0,109.94,In-Store
8,2023-01-01,PRD028,STR06,CUS00258,2,3337.73,0.0,2553.79,In-Store
9,2023-01-01,PRD033,STR14,CUS00156,1,6468.2,0.0,4738.95,Online
10,2023-01-01,PRD023,STR10,CUS01880,2,6348.35,0.0,3607.97,In-Store
11,2023-01-01,PRD018,STR05,CUS01058,1,2923.47,0.0,1807.51,In-Store
12,2023-01-01,PRD050,STR03,CUS01627,1,764.72,0.0,563.54,In-Store
13,2023-01-01,PRD044,STR03,CUS02215,1,177.02,0.0,109.94,In-Store
14,2023-01-01,PRD037,STR09,CUS00820,2,1804.66,0.1,1370.06,In-Store
15,2023-01-01,PRD008,STR03,CUS01226,3,27873.72,0.0,21802.36,In-Store
16,2023-01-01,PRD030,STR01,CUS02064,2,10244.81,0.0,5833.55,In-Store
17,2023-01-01,PRD050,STR01,CUS01892,1,764.72,0.0,563.54,In-Store
18,2023-01-01,PRD038,STR17,CUS00445,2,12076.94,0.15,7419.68,Online
19,2023-01-01,PRD017,STR02,CUS00757,4,2842.6,0.0,2119.97,In-Store
20,2023-01-01,PRD048,STR02,CUS00500,1,892.97,0.0,502.98,In-Store
21,2023-01-01,PRD031,STR09,CUS01388,1,5326.19,0.0,3732.55,In-Store
22,2023-01-01,PRD037,STR05,CUS00831,1,1804.66,0.0,1370.06,In-Store
23,2023-01-01,PRD020,STR18,CUS01671,2,611.43,0.0,398.62,Online
24,2023-01-01,PRD015,STR17,CUS02479,1,1179.13,0.0,939.71,Online
25,2023-01-01,PRD042,STR07,CUS00232,1,266.99,0.0,182.18,In-Store
26,2023-01-01,PRD038,STR08,CUS01815,1,12076.94,0.0,7419.68,In-Store
27,2023-01-01,PRD018,STR07,CUS01581,4,2923.47,0.0,1807.51,In-Store
28,2023-01-01,PRD049,STR01,CUS00460,1,824.82,0.0,573.15,In-Store
29,2023-01-01,PRD050,STR05,CUS00628,1,764.72,0.0,563.54,In-Store
30,2023-01-01,PRD035,STR02,CUS00863,1,7988.65,0.0,4776.76,In-Store
31,2023-01-01,PRD004,STR02,CUS02295,1,52665.96,0.0,29508.13,In-Store
32,2023-01-01,PRD025,STR10,CUS00217,1,1867.86,0.0,1086.26,In-Store
33,2023-01-01,PRD018,STR02,CUS00103,1,2923.47,0.0,1807.51,In-Store
34,2023-01-01,PRD047,STR02,CUS01506,2,205.45,0.0,161.22,In-Store
35,2023-01-01,PRD008,STR09,CUS00860,2,27873.72,0.0,21802.36,In-Store
36,2023-01-01,PRD015,STR08,CUS00617,1,1179.13,0.0,939.71,In-Store
37,2023-01-01,PRD015,STR03,CUS01940,1,1179.13,0.0,939.71,In-Store
38,2023-01-02,PRD025,STR06,CUS02493,1,1867.86,0.0,1086.26,In-Store
39,2023-01-02,PRD004,STR01,CUS01626,1,52665.96,0.0,29508.13,In-Store
40,2023-01-02,PRD037,STR16,CUS01804,1,1804.66,0.0,1370.06,Online
